gene_id	junction_id	chromosome	donor_site	acceptor_site	strand	read_count
ENSMUSG00000006304.14	chr1_74236899_74246079_+	chr1	74236899	74246079	+	921
ENSMUSG00000006304.14	chr1_74246114_74248131_+	chr1	74246114	74248131	+	944
ENSMUSG00000006304.14	chr1_74248244_74251253_+	chr1	74248244	74251253	+	1121
ENSMUSG00000006304.14	chr1_74251299_74254827_+	chr1	74251299	74254827	+	1651
ENSMUSG00000006304.14	chr1_74255014_74255957_+	chr1	74255014	74255957	+	1876
ENSMUSG00000006304.14	chr1_74256051_74262458_+	chr1	74256051	74262458	+	1753
ENSMUSG00000006304.14	chr1_74262585_74263742_+	chr1	74262585	74263742	+	1988
ENSMUSG00000006304.14	chr1_74263843_74264352_+	chr1	74263843	74264352	+	1961
ENSMUSG00000006304.14	chr1_74264453_74267770_+	chr1	74264453	74267770	+	1346
ENSMUSG00000006304.14	chr1_74236610_74236817_+	chr1	74236610	74236817	+	533
ENSMUSG00000026197.12	chr1_75168906_75169184_+	chr1	75168906	75169184	+	80
ENSMUSG00000026197.12	chr1_75169279_75169499_+	chr1	75169279	75169499	+	145
ENSMUSG00000026197.12	chr1_75169631_75169764_+	chr1	75169631	75169764	+	125
ENSMUSG00000026197.12	chr1_75169916_75170366_+	chr1	75169916	75170366	+	208
ENSMUSG00000026197.12	chr1_75170459_75170538_+	chr1	75170459	75170538	+	243
ENSMUSG00000026197.12	chr1_75170599_75170685_+	chr1	75170599	75170685	+	201
ENSMUSG00000026197.12	chr1_75170753_75170975_+	chr1	75170753	75170975	+	231
ENSMUSG00000026197.12	chr1_75171048_75171235_+	chr1	75171048	75171235	+	193
ENSMUSG00000026360.9	chr1_144001874_144002115_-	chr1	144002115	144001874	-	570
ENSMUSG00000026360.9	chr1_144002282_144002779_-	chr1	144002779	144002282	-	341
ENSMUSG00000026360.9	chr1_144002841_144002951_-	chr1	144002951	144002841	-	181
ENSMUSG00000026360.9	chr1_144003053_144004008_-	chr1	144004008	144003053	-	516
ENSMUSG00000008475.13	chr1_152766867_152768860_+	chr1	152766867	152768860	+	343
ENSMUSG00000008475.13	chr1_152768933_152771363_+	chr1	152768933	152771363	+	788
ENSMUSG00000008475.13	chr1_152771540_152774259_+	chr1	152771540	152774259	+	1006
ENSMUSG00000026581.14	chr1_164069058_164072112_+	chr1	164069058	164072112	+	652
ENSMUSG00000026581.14	chr1_164072241_164076141_+	chr1	164072241	164076141	+	680
ENSMUSG00000026581.14	chr1_164076160_164079677_+	chr1	164076160	164079677	+	602
ENSMUSG00000058715.11	chr1_171229927_171230066_-	chr1	171230066	171229927	-	1537
ENSMUSG00000058715.11	chr1_171230087_171230995_-	chr1	171230995	171230087	-	1583
ENSMUSG00000058715.11	chr1_171231031_171231176_-	chr1	171231176	171231031	-	1911
ENSMUSG00000058715.11	chr1_171231268_171234196_-	chr1	171234196	171231268	-	1317
ENSMUSG00000060743.12	chr1_180803205_180810116_-	chr1	180810116	180803205	-	2538
ENSMUSG00000060743.12	chr1_180810270_180811798_-	chr1	180811798	180810270	-	2763
ENSMUSG00000060743.12	chr1_180811949_180813470_-	chr1	180813470	180811949	-	1529
ENSMUSG00000038633.5	chr1_182276893_182278975_-	chr1	182278975	182276893	-	213
ENSMUSG00000038633.5	chr1_182279718_182282621_-	chr1	182282621	182279718	-	127
ENSMUSG00000019782.10	chr10_34002567_34008992_-	chr10	34008992	34002567	-	209
ENSMUSG00000019782.10	chr10_34009123_34012071_-	chr10	34012071	34009123	-	247
ENSMUSG00000019782.10	chr10_34012137_34019365_-	chr10	34019365	34012137	-	312
ENSMUSG00000020077.14	chr10_62495106_62497778_-	chr10	62497778	62495106	-	483
ENSMUSG00000020077.14	chr10_62497923_62507641_-	chr10	62507641	62497923	-	430
ENSMUSG00000020180.10	chr10_75518125_75519313_+	chr10	75518125	75519313	+	395
ENSMUSG00000020180.10	chr10_75519460_75532176_+	chr10	75519460	75532176	+	400
ENSMUSG00000020180.10	chr10_75532369_75535260_+	chr10	75532369	75535260	+	402
ENSMUSG00000035781.14	chr10_79912481_79912648_-	chr10	79912648	79912481	-	116
ENSMUSG00000035781.14	chr10_79912769_79913224_-	chr10	79913224	79912769	-	144
ENSMUSG00000035781.14	chr10_79913346_79913556_-	chr10	79913556	79913346	-	61
ENSMUSG00000035781.14	chr10_79913711_79916822_-	chr10	79916822	79913711	-	66
ENSMUSG00000075706.10	chr10_80055119_80055922_+	chr10	80055119	80055922	+	2024
ENSMUSG00000075706.10	chr10_80055947_80056039_+	chr10	80055947	80056039	+	2191
ENSMUSG00000075706.10	chr10_80056099_80056185_+	chr10	80056099	80056185	+	2974
ENSMUSG00000075706.10	chr10_80053715_80054513_+	chr10	80053715	80054513	+	2666
ENSMUSG00000075706.10	chr10_80054608_80054699_+	chr10	80054608	80054699	+	2429
ENSMUSG00000075706.10	chr10_80054844_80054967_+	chr10	80054844	80054967	+	2392
ENSMUSG00000035242.15	chr10_80828382_80828460_+	chr10	80828382	80828460	+	6183
ENSMUSG00000035242.15	chr10_80828633_80828710_+	chr10	80828633	80828710	+	8552
ENSMUSG00000069516.8	chr10_117278187_117278642_-	chr10	117278642	117278187	-	67211
ENSMUSG00000069516.8	chr10_117278721_117280640_-	chr10	117280640	117278721	-	53636
ENSMUSG00000069516.8	chr10_117280805_117282106_-	chr10	117282106	117280805	-	45697
ENSMUSG00000069515.6	chr10_117289197_117291028_-	chr10	117291028	117289197	-	7362
ENSMUSG00000052681.8	chr10_117815780_117817343_-	chr10	117817343	117815780	-	640
ENSMUSG00000052681.8	chr10_117817460_117818465_-	chr10	117818465	117817460	-	701
ENSMUSG00000052681.8	chr10_117818609_117820461_-	chr10	117820461	117818609	-	572
ENSMUSG00000052681.8	chr10_117820602_117821589_-	chr10	117821589	117820602	-	681
ENSMUSG00000052681.8	chr10_117821646_117822800_-	chr10	117822800	117821646	-	568
ENSMUSG00000052681.8	chr10_117822869_117824593_-	chr10	117824593	117822869	-	762
ENSMUSG00000052681.8	chr10_117824674_117845830_-	chr10	117845830	117824674	-	227
ENSMUSG00000090841.2	chr10_128491033_128492058_-	chr10	128492058	128491033	-	2931
ENSMUSG00000090841.2	chr10_128492136_128492228_-	chr10	128492228	128492136	-	2366
ENSMUSG00000090841.2	chr10_128492402_128492601_-	chr10	128492601	128492402	-	3033
ENSMUSG00000090841.2	chr10_128492745_128493538_-	chr10	128493538	128492745	-	2861
ENSMUSG00000090841.2	chr10_128493566_128493808_-	chr10	128493808	128493566	-	2323
ENSMUSG00000090841.2	chr10_128493853_128569718_-	chr10	128569718	128493853	-	141
ENSMUSG00000093674.7	chr10_128548429_128548657_-	chr10	128548657	128548429	-	3471
ENSMUSG00000093674.7	chr10_128548680_128548948_-	chr10	128548948	128548680	-	2734
ENSMUSG00000025351.14	chr10_128912301_128912437_+	chr10	128912301	128912437	+	1881
